dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
spherical/voluminous,-0.38072784793540126,-0.3214868025067661,-0.3155879289215533,-0.3258488206034964,-0.32614589382883064,-0.2855460919145687,-0.32875225077638004,-0.3487761450008986,-0.33615208656286466,-0.3022198260350526,-0.33653115951176504,-0.27471071463643515
string-related/curved,-0.38275014159033094,-0.34042740585546993,-0.3310794072881438,-0.33507339443913553,-0.34985961135930177,-0.33292751386865493,-0.3841464696739363,-0.37135193102299824,-0.3507205925018786,-0.32041708925794743,-0.23892235758578195,-0.2821715731895271
seating-/standing-/lying-related,-0.4029323931483353,-0.38898131207707354,-0.2981585677020684,-0.3160504832560609,-0.3250083277654632,-0.28781288871461896,-0.3206056727879214,-0.3065885045427046,-0.2806942629054552,-0.2327715744662211,-0.43519676546477415,-0.354388558314471
flying-/sky-related,-0.3056446480438717,-0.22646454668928628,-0.17169115727377426,-0.19227820628519643,-0.23516017642870368,-0.22688428290252238,-0.18641478662896427,-0.21217931470782014,-0.21265697849404241,-0.1739765987978934,-0.10791782987471521,-0.13920020083073004
bug-related/non-mammalian/disgusting,-0.2974487731011446,-0.2578753892428429,-0.23013549593511629,-0.23519852681502873,-0.2755009047604262,-0.27895231514085084,-0.28395009306957775,-0.27746193645425143,-0.26767284000370184,-0.2781661646932214,-0.0483619993628881,0.05410088713866845
transparent/shiny/crystalline,-0.3876198272814866,-0.3724459627486303,-0.32638565564345856,-0.33768472129746097,-0.3613462496352067,-0.35505865296502703,-0.34758422954035106,-0.4034690468823936,-0.38125366006290884,-0.3700501615605176,-0.33125151820758325,-0.3044304872951138
sand-colored,-0.34934780476158167,-0.3240922823566912,-0.3632890852725039,-0.25783467495871193,-0.3852105603394842,-0.419984114537445,-0.48770127797350216,-0.4625637681383612,-0.420754078590994,-0.43738241032888436,-0.5044721259013503,-0.4763017632018882
green,-0.1626152570370052,-0.04068071377483884,-0.08392786450033785,-0.0476642293287306,-0.13413907452519824,-0.09736395621559835,-0.1966434619140489,-0.24748686422678046,-0.21439490607475364,-0.2475312906274254,-0.24387439729386395,-0.23247276988342458
bathroom-/wetness-related,-0.35985809355947573,-0.357173495646375,-0.29075434912218845,-0.30930822001746927,-0.34165659173565865,-0.3408617451827045,-0.3686899791352014,-0.3778336743164765,-0.37411596969571437,-0.405196220777567,-0.4009346492152208,-0.18748314258754073
yellow,-0.3545546324800939,-0.28708149740260924,-0.31625244996206603,-0.29154563734703265,-0.31167939076457696,-0.3148445549386063,-0.3252476072271919,-0.36195064502267127,-0.3031037890438466,-0.35194630163230367,-0.43854260756969765,-0.32437068628556376
